1289,Relation-Commerciale,"Accueil très agréable et c'est la seule chose que je retiendrais. Prise en charge, après un certain temps d'attente, par un vendeur au service client plus que détestable, pas d'écoute des demandes, des explications plus que médiocres sur les différents téléphones proposés et quand on demande de voir le téléphone, enfin choisi, je trouve assez dommage que la réponse donnée soit ""il est au fond présenté "" sans que le vendeur daigne se déplacer... Je voulais pourtant changer de téléphone. Je suis reparti sans...  Je ne remettrai plus les pieds dans cette boutique."
807,Relation-Commerciale,"D'une incompétence incroyable et d'un amabilité déplorable. C'est la troisième fois que je m'y rend en tant que pro, et c'est la troisième fois qu'ils n'ont  pas ce qu'il faut: carte SIM, box Orange... Et ils ne peuvent soit disant aps appeler un autre boutique Orange pour vérifier que le matériel soit en stock là bas..."
687,Problème-Technique,No pueden solucionar ningún problema con SIM CARDS que pertenecen a ellos. Malísima la atención!
976,Accueil-politesse,Excellent accueil mais surtout grande disponibilité des vendeurs et grandes compétences dans le domaine technique. Boutique dont le fonctionnement est hors du commun.
636,Temps-Attente,"Service deplorable. Je me rends en boutique pour échanger une box défectueuse. J'ai commandé la box de remplacement en ligne et reçu une notification comme quoi elle était arrivée.  J'ai attendu 30 minutes en boutique pour qu'un personnel malpoli m'explique que mon colis n'est pas arrivé. Selon lui, si j'ai reçu un SMS comme quoi le colis est arrivé aujourd'hui, c'est qu'il arrivera demain. Sa logique me dépasse."
2029,Accueil-politesse,Bon vendeurs à l'écoute et sympathique.
1512,Temps-Attente,Personnel super compétent très peu d’attente j’ai rien à dire autre chose que allez y les yeux fermés
2219,Accueil-politesse,orange opéra beaucoup mieux que orange champ Élysée j'avais l'impression de parler à un mûr je parlais tout seul !!!
663,Accueil-politesse,Le personnel est vraiment TRÈS désagréable ! C’est la pire boutique Orange. Ils font pas leur travail ils ont que le mot NON dans leur bouche à croire qu’il nous rendent service !
1842,Relation-Commerciale,"Suite à l'achat d'un film verre (cache) XPERIA, je vais à la boutique pour la 3ème fois,  vers les 18h ce mercerdi ,afin de rencontrer Le responsable qui est en entretien tél,  l'un des vendeurs me dit de revenir ds 1/4 , après je le croise dans le magasin il faisait l'inventaire, c'est tout juste si moi j'allais pas prendre aussi ma douche !!! Il me bloque cache en me disant je ne rembourse rien, je n'avais même ouvert la bouche..il prend même pas la peine d'écouter, aucun respect alors que je me suis adressée au SAV de xpéria, qui m'ont recommandé d'aller en boutique...tout le monde se renvoie la balle, mais pour un responsable il est utile de savoir écouter ou communiquer, maintenant que j'ai croisé le responsable je comprends la bonne humeur de ce magasin...c'est un pti monsieur quelconque d'une 50è d'années voir plus, dégarni et aucuns sourires..Il faisait l'inventaire trop préoccupé par ses responsabilités...Je comprends pourquoi j'ai pas envie de rester chez ORANGE"
427,Problème-Technique,"Cliente comme mon mari depuis des années chez Orange. Je suis très déçue de mon dernier passage. Je suis allée changer mon smartphone qui avait 2 problèmes. La batterie qui n'en pouvait plus, celui que l'on m'a remplacé est guère mieux. Le chargeur aussi a été changé mais on me l'a fait payer presque 15€ alors qu'il fesait parti du pack d'achat. Les photos de mes contacts sont toutes floutees. Je suis très déçue. Je dois le changer au mois d'octobre, j'y réfléchirais. Quand à l'accueil dure, dure. Désolée."
486,Accueil-politesse,"Personnel à l'accueil faisant réellement office d'accueil et de bienvenu... un vrai plaisir d'être accueilli de la sorte avec courtoisie et sourire. Pas eu besoin de passer par la case conseiller donc impossible à juger, mais en tout cas il y avait de nombreux conseiller en train de renseigner des clients. Ça change des boutiques où les îlots de conseils sont désespérément vides..."
1340,Relation-Commerciale,Vendeur très compétent et efficace
1148,Accueil-politesse,Très bien personnels très aimable
448,Accueil-politesse,Suoer sympa les vendeurs !
592,Temps-Attente,Beaucoup d'attente (environ 30 minutes) du fait que les vendeurs soient obligés de dépasser leur rôle et de jouer les pédagogues avec des clients pas très doués... Ils sont vraiment patients... Accueil aimable et professionnel.
872,Accueil-politesse,Équipe Sympa et compétente...
1796,Cadre-Atmosphère,Souvent vide on a l impression de rentrer dans un autre monde froid et inquiétant
